#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0
#Host: 193.206.135.171
1569333148.08 254659 16.550 120627.427 92222 3 3 1 5.053 513052 0.000 0.586 48205824.000 652468224.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333148.18 253395 16.416 120627.427 92222 3 3 1 5.053 513052 0.000 0.586 48242688.000 652468224.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333148.29 252882 16.350 120627.427 92222 3 3 1 5.053 513052 9.091 0.586 48271360.000 652468224.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333148.39 251671 16.216 120627.427 92222 3 3 1 5.053 513052 10.000 0.587 48295936.000 652468224.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333148.49 251136 16.149 120627.427 92222 3 3 1 5.053 513052 10.000 0.587 48324608.000 652611584.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333148.59 249834 16.016 120627.427 92222 3 3 1 5.053 513052 9.091 0.587 48361472.000 652611584.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333148.70 249217 15.949 120627.427 92222 3 3 1 5.053 513052 0.000 0.588 48390144.000 652611584.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333148.80 239059 15.816 120627.427 92222 3 3 1 5.053 513052 0.000 0.588 48414720.000 652611584.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333148.90 237878 15.682 120627.427 92222 3 3 1 5.053 513052 20.000 0.588 48455680.000 652754944.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.01 237378 15.616 120627.427 92222 3 3 1 5.053 513052 0.000 0.589 48480256.000 652754944.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.11 236015 15.482 120627.427 92222 3 3 1 5.053 513052 0.000 0.589 48508928.000 652754944.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.21 235400 15.415 120627.427 92222 3 3 1 5.053 513052 10.000 0.590 48533504.000 652754944.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.32 234374 15.282 120627.427 92222 3 3 1 5.053 513052 0.000 0.590 48574464.000 652754944.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.42 233675 15.215 120627.427 92222 3 3 1 5.053 513052 18.182 0.590 48599040.000 652898304.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.52 232525 15.082 120627.427 92222 3 3 1 5.053 513052 0.000 0.590 48623616.000 652898304.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.63 231971 15.015 120627.427 92222 3 3 1 5.053 513052 0.000 0.591 48652288.000 652898304.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.73 228350 14.882 120627.427 92222 3 3 1 5.053 513052 18.182 0.591 48693248.000 652898304.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.83 226532 14.748 120627.427 92222 3 3 1 5.053 513052 0.000 0.592 48717824.000 652898304.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333149.94 225787 14.681 120627.427 92222 3 3 1 5.053 513052 18.182 0.592 48742400.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.04 224468 14.548 120627.427 92222 3 3 1 5.053 513052 0.000 0.592 48783360.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.15 223860 14.481 120627.427 92222 3 3 1 5.053 513052 10.000 0.592 48783360.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.25 222645 14.348 120627.427 92222 3 3 1 5.053 513052 0.000 0.592 48783360.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.35 222106 14.281 120627.427 92222 3 3 1 5.053 513052 10.000 0.592 48783360.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.46 220848 14.147 120627.427 92222 3 3 1 5.053 513052 0.000 0.592 48783360.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.56 220249 14.081 120627.427 92222 3 3 1 5.053 513052 9.091 0.592 48783360.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.66 219012 13.947 120627.427 92222 3 3 1 5.053 513052 0.000 0.592 48783360.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.77 209691 13.881 120627.427 92222 3 3 1 5.053 513052 0.000 0.593 48795648.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.87 207889 13.747 120627.427 92222 3 3 1 5.053 513052 18.182 0.593 48840704.000 653033472.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333150.97 206745 13.614 120627.427 92222 3 3 1 5.053 513052 0.000 0.593 48865280.000 653168640.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.07 206080 13.547 120627.427 92222 3 3 1 5.053 513052 0.000 0.594 48893952.000 653168640.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.18 204791 13.413 120627.427 92222 3 3 1 5.053 513052 9.091 0.594 48918528.000 653168640.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.28 204264 13.347 120627.427 92222 3 3 1 5.053 513052 0.000 0.595 48967680.000 653168640.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.38 202999 13.213 120627.427 92222 3 3 1 5.053 513052 20.000 0.595 48992256.000 653168640.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.49 202425 13.146 120627.427 92222 3 3 1 5.053 513052 10.000 0.595 49020928.000 653307904.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.59 201198 13.013 120627.427 92222 3 3 1 5.053 513052 0.000 0.596 49045504.000 653307904.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.69 200639 12.946 120627.427 92222 3 3 1 5.053 513052 0.000 0.596 49086464.000 653307904.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.80 196296 12.813 120627.427 92222 3 3 1 5.053 513052 20.000 0.596 49111040.000 653307904.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333151.90 195619 12.746 120627.427 92222 3 3 1 5.053 513052 0.000 0.597 49139712.000 653307904.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.00 194155 12.613 120627.427 92222 3 3 1 5.053 513052 10.000 0.597 49164288.000 653451264.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.10 192707 12.479 120627.427 92222 3 3 1 5.053 513052 10.000 0.597 49205248.000 653451264.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.21 192068 12.412 120627.427 92222 3 3 1 5.053 513052 0.000 0.598 49229824.000 653451264.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.31 190973 12.279 120627.427 92222 3 3 1 5.053 513052 20.000 0.598 49254400.000 653451264.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.42 190196 12.212 120627.427 92222 3 3 1 5.053 513052 0.000 0.599 49295360.000 653598720.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.52 189020 12.079 120627.427 92222 3 3 1 5.053 513052 9.091 0.599 49319936.000 653598720.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.62 188431 12.012 120627.427 92222 3 3 1 5.053 513052 10.000 0.599 49348608.000 653598720.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.73 178479 11.879 120627.427 92222 3 3 1 5.053 513052 10.000 0.600 49373184.000 653598720.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.83 177273 11.812 120627.427 92222 3 3 1 5.053 513052 9.091 0.600 49414144.000 653598720.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333152.93 176015 11.678 120627.427 92222 3 3 1 5.053 513052 0.000 0.600 49438720.000 653742080.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.04 175474 11.612 120627.427 92222 3 3 1 5.053 513052 9.091 0.601 49467392.000 653742080.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.14 174041 11.478 120627.427 92222 3 3 1 5.053 513052 10.000 0.601 49504256.000 653742080.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.25 172876 11.345 120627.427 92222 3 3 1 5.053 513052 0.000 0.601 49532928.000 653742080.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.35 172359 11.278 120627.427 92222 3 3 1 5.053 513052 18.182 0.602 49557504.000 653742080.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.45 171091 11.144 120627.427 92222 3 3 1 5.053 513052 10.000 0.602 49598464.000 653897728.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.56 170377 11.078 120627.427 92222 3 3 1 5.053 513052 9.091 0.586 48267264.000 652410880.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.66 169263 10.944 120627.427 92222 3 3 1 5.053 513052 10.000 0.594 48812032.000 653189120.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.76 166023 10.878 120627.427 92222 3 3 1 5.053 513052 0.000 0.594 48820224.000 653209600.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.86 164217 10.744 120627.427 92222 3 3 1 5.053 513052 10.000 0.586 48300032.000 652443648.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333153.97 163367 10.677 120627.427 92222 3 3 1 5.053 513052 10.000 0.586 48308224.000 652451840.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333154.07 162013 10.544 120627.427 92222 3 3 1 5.053 513052 18.182 0.586 48320512.000 652464128.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333154.18 160652 10.410 120627.427 92222 3 3 1 5.053 513052 0.000 0.585 48189440.000 652464128.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
